            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000,  1.758855173692741E-02,  1.471059352168680E+08,  3.148362523143972E-03,  1.699330947700558E+02,  2.933115979757158E+02,  2.460313969187542E+06,  1.139131681922564E-05,  6.427689448080669E+00,  6.658357333936599E+00,  1.497396385974074E+08,  1.523733419779467E+08,  3.160301883557587E+07,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000,  1.757506649655601E-02,  1.471078019162762E+08,  2.918395238070434E-03,  1.788032811224253E+02,  2.847841058080947E+02,  2.460314305204019E+06,  1.139133454130656E-05,  7.081199537384483E+00,  7.334998833398473E+00,  1.497394832922983E+08,  1.523711646683204E+08,  3.160296966914544E+07,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000,  1.751002216292792E-02,  1.471097499551308E+08,  2.762680325772853E-03,  1.886087702249614E+02,  2.752937522427869E+02,  2.460314614000481E+06,  1.139223956612576E-05,  7.762106512108445E+00,  8.039105948654026E+00,  1.497315527624916E+08,  1.523533555698524E+08,  3.160045905902834E+07,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000,  1.739674739681371E-02,  1.471116132618719E+08,  2.690198898001716E-03,  1.981291664797681E+02,  2.660358370964962E+02,  2.460314870946239E+06,  1.139399332381032E-05,  8.494794513157007E+00,  8.795741954595032E+00,  1.497161879651149E+08,  1.523207626683578E+08,  3.159559513236670E+07,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000,  1.724317728003812E-02,  1.471132096346434E+08,  2.681447114519248E-03,  2.060794385389388E+02,  2.582740059160493E+02,  2.460315055061530E+06,  1.139647905974498E-05,  9.300013357780756E+00,  9.626262166410630E+00,  1.496944170048907E+08,  1.522756243751379E+08,  3.158870367880586E+07,
2460325.500000000, A.D. 2024-Jan-16 00:00:00.0000,  1.706060652036327E-02,  1.471143595197773E+08,  2.701599440693731E-03,  2.116390564404945E+02,  2.528137366699379E+02,  2.460315151591680E+06,  1.139952130925314E-05,  1.019234026043753E+01,  1.054569192952066E+01,  1.496677826686626E+08,  1.522212058175479E+08,  3.158027343725243E+07,
2460326.500000000, A.D. 2024-Jan-17 00:00:00.0000,  1.686193997069979E-02,  1.471149021300275E+08,  2.719960164528181E-03,  2.145264829299576E+02,  2.499291738533337E+02,  2.460315153308738E+06,  1.140291441388881E-05,  1.117889418291962E+01,  1.156140234420618E+01,  1.496380906315875E+08,  1.521612791331474E+08,  3.157087626313481E+07,
2460327.500000000, A.D. 2024-Jan-18 00:00:00.0000,  1.666004169778276E-02,  1.471147075482398E+08,  2.721772617760023E-03,  2.147665293463978E+02,  2.495957911604423E+02,  2.460315060531881E+06,  1.140644979621879E-05,  1.225931056619488E+01,  1.267309209463732E+01,  1.496071692258294E+08,  1.520996309034190E+08,  3.156109099952722E+07,
2460328.500000000, A.D. 2024-Jan-19 00:00:00.0000,  1.646655880678998E-02,  1.471136855531141E+08,  2.710490942941773E-03,  2.125028770344540E+02,  2.516770094793932E+02,  2.460314880284886E+06,  1.140993537320208E-05,  1.342656598284993E+01,  1.387364780710987E+01,  1.495766990643833E+08,  1.520397125756525E+08,  3.155144952402738E+07,
2460329.500000000, A.D. 2024-Jan-20 00:00:00.0000,  1.629128332392770E-02,  1.471117925663129E+08,  2.704368974024635E-03,  2.079778459041077E+02,  2.559431862395099E+02,  2.460314625077475E+06,  1.141320584435572E-05,  1.466817575273896E+01,  1.515038553100032E+01,  1.495481234154355E+08,  1.519844542645581E+08,  3.154240840911794E+07,
